,Location,Period,Gender,Life_Expectancy,Healthy_Life_Expectancy,%Mrt30_70_crdo_cncr_dbts_rsprtry,Suicide100000,Ttl_alc_percapita_15+,Posioning100000,Smoking15+
927,Portugal,2010,Both sexes,79.73,69.34,12.1,13.5,12.51,0.28,26.4
930,Portugal,2000,Both sexes,76.58,66.83,15.7,7.5,14.08,0.44,25.3
933,Qatar,2015,Both sexes,76.41,66.44,15.4,6.5,1.62,0.43,14.2
936,Qatar,2010,Both sexes,74.08,64.72,16.4,6.1,1.69,0.39,14.5
939,Qatar,2000,Both sexes,71.29,62.45,18.3,3.4,1.15,0.19,15.6
942,Republic of Korea,2015,Both sexes,82.2,72.03,8.3,28.3,10.04,0.53,23.8
945,Republic of Korea,2010,Both sexes,80.58,70.88,10.6,34.1,9.97,0.6,26.9
948,Republic of Korea,2000,Both sexes,76.21,67.36,16.5,14.8,12.31,0.97,35.0
951,Republic of Moldova,2015,Both sexes,71.13,62.86,27.5,16.4,11.87,1.22,25.0
954,Republic of Moldova,2010,Both sexes,68.81,61.04,29.5,20.9,15.54,1.74,24.8
957,Republic of Moldova,2000,Both sexes,66.87,59.26,31.9,16.4,13.89,5.68,24.5
960,Romania,2015,Both sexes,74.82,66.28,21.5,11.6,11.64,0.4,27.5
963,Romania,2010,Both sexes,73.7,65.43,23.4,14.0,13.97,0.51,31.6
966,Romania,2000,Both sexes,71.39,63.27,26.4,13.2,17.45,1.02,42.0
969,Russian Federation,2015,Both sexes,71.3,62.67,25.9,32.1,12.47,1.78,29.0
972,Russian Federation,2010,Both sexes,68.76,60.48,30.4,40.0,15.87,2.17,30.6
975,Russian Federation,2000,Both sexes,65.29,57.34,37.0,52.6,15.73,2.86,34.2
978,Rwanda,2015,Both sexes,67.69,58.87,18.3,6.8,9.26,2.51,14.2
981,Rwanda,2010,Both sexes,64.44,55.93,19.2,7.5,10.27,3.63,15.9
984,Rwanda,2000,Both sexes,47.51,41.19,30.1,15.6,13.73,7.71,20.2
987,Samoa,2015,Both sexes,70.04,61.9,20.9,4.5,2.59,0.5,30.5
990,Samoa,2010,Both sexes,69.57,61.54,23.4,5.0,2.97,0.57,33.5
993,Samoa,2000,Both sexes,68.51,60.73,29.5,8.3,3.79,0.77,41.3
996,Sao Tome and Principe,2015,Both sexes,69.6,60.95,18.6,2.3,7.19,0.89,5.5
999,Sao Tome and Principe,2010,Both sexes,68.24,59.76,18.6,2.0,8.34,1.01,5.7
1002,Sao Tome and Principe,2000,Both sexes,63.45,55.55,19.8,2.0,8.2,1.43,6.4
1005,Saudi Arabia,2015,Both sexes,73.15,63.2,16.5,3.2,0.2,0.66,16.6
1008,Saudi Arabia,2010,Both sexes,71.76,62.19,17.9,3.4,0.17,0.86,16.6
1011,Saudi Arabia,2000,Both sexes,70.52,61.18,18.9,2.8,0.18,1.27,17.2
1014,Senegal,2015,Both sexes,67.2,58.17,18.4,6.2,0.73,2.38,9.8
1017,Senegal,2010,Both sexes,65.47,56.65,20.0,6.9,0.6,2.66,11.2
1020,Senegal,2000,Both sexes,58.6,50.76,21.3,7.7,0.96,3.1,14.7
1023,Serbia,2015,Both sexes,75.21,66.44,20.1,15.0,8.7,0.35,41.3
1026,Serbia,2010,Both sexes,74.2,65.66,22.5,15.9,11.69,0.42,42.7
1029,Seychelles,2015,Both sexes,73.2,63.98,21.3,9.4,18.35,0.59,21.7
1032,Seychelles,2010,Both sexes,73.01,63.97,22.8,9.4,10.19,0.66,22.9
1035,Seychelles,2000,Both sexes,71.87,63.07,24.1,8.7,7.62,0.8,25.7
1038,Sierra Leone,2015,Both sexes,56.94,49.7,30.0,9.3,5.63,4.15,21.8
1041,Sierra Leone,2010,Both sexes,54.74,47.76,31.8,9.2,5.83,4.48,25.7
1044,Sierra Leone,2000,Both sexes,48.73,42.22,36.7,11.1,5.8,5.38,37.0
1047,Singapore,2015,Both sexes,82.81,73.2,10.0,9.0,2.07,0.083,16.5
1050,Singapore,2010,Both sexes,81.7,72.34,11.3,10.0,2.19,0.11,16.5
1053,Singapore,2000,Both sexes,78.44,69.49,16.8,12.4,2.49,0.12,16.6
1056,Slovakia,2015,Both sexes,77.01,67.64,17.7,12.8,11.53,0.37,32.0
1059,Slovakia,2010,Both sexes,75.47,66.48,20.4,13.9,12.0,0.49,31.9
1062,Slovakia,2000,Both sexes,73.3,64.72,25.3,14.4,12.47,0.72,32.1
1065,Slovenia,2015,Both sexes,80.47,70.04,13.1,21.0,12.74,0.32,23.1
1068,Slovenia,2010,Both sexes,79.55,69.23,13.5,20.7,11.54,0.34,23.8
1071,Slovenia,2000,Both sexes,76.05,66.52,18.5,32.4,12.6,0.66,25.3
1074,Solomon Islands,2015,Both sexes,64.74,57.4,24.4,4.9,1.55,0.96,38.4
1077,Solomon Islands,2010,Both sexes,63.69,56.58,25.8,5.8,1.6,1.16,39.5
1080,Solomon Islands,2000,Both sexes,62.51,55.68,31.2,11.2,1.2,1.57,42.4
1083,South Africa,2015,Both sexes,62.57,54.11,26.6,11.8,9.61,1.29,32.2
1086,South Africa,2010,Both sexes,57.14,49.61,28.2,12.2,10.04,1.29,33.9
1089,South Africa,2000,Both sexes,55.75,48.48,29.4,11.6,10.02,1.07,38.1
1092,Spain,2015,Both sexes,82.33,71.56,10.1,8.1,11.32,0.22,29.3
1095,Spain,2010,Both sexes,81.69,71.03,10.7,7.0,10.03,0.2,31.6
1098,Spain,2000,Both sexes,79.08,69.06,13.5,8.6,12.43,0.31,37.5
1101,Sri Lanka,2015,Both sexes,76.27,66.55,17.6,14.8,4.1,0.42,23.5
1104,Sri Lanka,2010,Both sexes,73.3,64.19,17.6,19.1,3.92,0.42,24.6
1107,Sri Lanka,2000,Both sexes,71.89,62.99,21.5,28.8,2.22,0.64,28.3
1110,Sweden,2015,Both sexes,81.75,71.43,9.3,15.7,9.13,0.41,32.0
1113,Sweden,2010,Both sexes,81.3,71.18,10.4,15.3,9.49,0.38,37.6
1116,Sweden,2000,Both sexes,79.57,69.86,13.2,15.6,8.53,0.41,52.7
1119,Switzerland,2015,Both sexes,82.61,71.75,8.7,17.1,11.58,0.099,25.7
1122,Switzerland,2010,Both sexes,82.19,71.37,9.7,16.2,11.41,0.11,26.6
1125,Switzerland,2000,Both sexes,79.72,69.29,12.6,21.8,12.49,0.14,28.5
1128,Thailand,2015,Both sexes,77.41,68.02,14.6,14.6,8.36,0.41,24.1
1131,Thailand,2010,Both sexes,76.25,67.09,15.8,14.3,7.71,0.44,26.5
1134,Thailand,2000,Both sexes,71.25,62.64,19.2,16.2,6.49,0.46,31.8
1137,Timor-Leste,2015,Both sexes,68.87,60.34,19.9,4.6,2.01,0.44,40.8
1140,Timor-Leste,2010,Both sexes,68.06,59.29,23.2,5.3,0.7,0.63,45.6
1143,Timor-Leste,2000,Both sexes,62.67,53.05,26.8,9.3,1.53,1.46,54.4
1146,Togo,2015,Both sexes,61.92,54.21,23.5,9.4,2.37,2.46,8.1
1149,Togo,2010,Both sexes,59.33,51.96,24.4,9.5,2.11,2.39,9.2
1152,Togo,2000,Both sexes,55.95,48.93,24.9,9.6,1.79,2.78,12.2
1155,Tonga,2015,Both sexes,72.33,63.93,23.5,3.5,0.68,1.37,30.6
1158,Tonga,2010,Both sexes,72.22,63.87,24.7,3.6,1.39,1.47,31.3
1161,Tonga,2000,Both sexes,70.92,62.87,26.1,3.6,1.7,1.44,33.3
1164,Tunisia,2015,Both sexes,76.7,66.75,16.4,3.4,1.99,0.48,27.9
1167,Tunisia,2010,Both sexes,76.05,66.3,17.5,3.6,1.4,0.6,31.3
1170,Tunisia,2000,Both sexes,74.12,64.8,19.3,3.5,1.36,0.97,39.7
1173,Turkey,2015,Both sexes,77.79,67.72,16.4,7.3,2.12,0.32,30.1
1176,Turkey,2010,Both sexes,76.89,66.95,18.2,8.4,2.32,0.47,31.7
1179,Turkey,2000,Both sexes,74.41,64.97,22.3,7.2,2.41,0.69,35.4
1182,Uganda,2015,Both sexes,64.47,56.29,21.9,9.9,15.14,3.3,11.4
1185,Uganda,2010,Both sexes,59.67,52.12,22.7,10.5,13.5,3.53,14.8
1188,Uganda,2000,Both sexes,48.76,42.52,25.9,11.1,13.61,4.35,25.2
1191,Ukraine,2015,Both sexes,72.2,63.79,25.9,23.1,10.16,2.65,27.3
1194,Ukraine,2010,Both sexes,70.2,62.2,29.3,27.1,13.57,2.95,30.7
1197,Ukraine,2000,Both sexes,67.53,59.71,34.3,36.9,12.46,7.6,38.8
1200,United Arab Emirates,2015,Both sexes,75.31,65.45,17.0,2.8,3.79,0.26,18.7
1203,United Arab Emirates,2010,Both sexes,74.86,65.1,18.1,3.0,3.15,0.3,19.4
1206,United Arab Emirates,2000,Both sexes,73.18,63.85,21.6,3.2,2.58,0.49,21.8
1209,United Kingdom of Great Britain and Northern Ireland,2015,Both sexes,80.65,69.67,11.2,8.7,11.21,0.26,21.3
1212,United Kingdom of Great Britain and Northern Ireland,2010,Both sexes,80.25,69.44,12.2,7.8,12.06,0.28,25.4
1215,United Kingdom of Great Britain and Northern Ireland,2000,Both sexes,77.85,67.57,16.4,9.1,13.73,0.5,35.2
1218,United Republic of Tanzania,2015,Both sexes,65.36,56.74,17.9,5.4,11.05,2.79,14.5
1221,United Republic of Tanzania,2010,Both sexes,61.39,53.36,17.9,5.3,9.74,2.77,17.0
1224,United Republic of Tanzania,2000,Both sexes,52.47,45.44,21.2,6.9,8.63,3.1,23.6
1227,United States of America,2015,Both sexes,78.56,66.56,14.3,15.0,9.82,0.9,26.0
1230,United States of America,2010,Both sexes,78.56,66.74,14.5,13.2,9.36,0.9,27.9
1233,United States of America,2000,Both sexes,76.69,65.8,18.0,11.3,9.19,0.71,32.3
1236,Uruguay,2015,Both sexes,77.03,67.54,17.1,19.4,6.99,0.4,24.0
1239,Uruguay,2010,Both sexes,76.36,67.15,17.7,16.6,7.1,0.4,28.3
1242,Uruguay,2000,Both sexes,74.82,65.94,20.6,17.4,8.09,0.57,39.0
1245,Uzbekistan,2015,Both sexes,71.45,63.46,24.8,7.4,2.59,1.09,12.8
1248,Uzbekistan,2010,Both sexes,70.19,62.33,26.5,6.0,3.01,1.18,13.8
1251,Uzbekistan,2000,Both sexes,65.27,58.08,29.3,7.6,5.68,1.23,16.1
1254,Vanuatu,2015,Both sexes,64.64,57.36,23.7,4.5,2.14,0.86,25.1
1257,Vanuatu,2010,Both sexes,64.52,57.34,24.9,5.1,1.7,0.98,27.2
1260,Vanuatu,2000,Both sexes,63.9,56.79,27.9,7.3,1.17,1.28,32.1
1263,Yemen,2015,Both sexes,67.47,58.38,30.7,8.6,0.055,3.74,22.2
1266,Yemen,2010,Both sexes,67.7,58.63,31.9,8.8,0.18,4.22,24.5
1269,Yemen,2000,Both sexes,62.69,54.46,33.1,6.8,0.79,6.19,30.9
1272,Zambia,2015,Both sexes,60.5,52.71,18.0,6.1,6.89,3.06,15.4
1275,Zambia,2010,Both sexes,56.67,49.44,19.9,6.3,5.43,3.55,16.7
1278,Zambia,2000,Both sexes,44.46,38.95,23.2,8.1,4.05,4.38,19.9
1281,Zimbabwe,2015,Both sexes,58.48,51.17,19.4,10.6,4.92,2.37,14.5
1284,Zimbabwe,2010,Both sexes,51.49,45.22,21.1,11.9,3.93,2.55,15.6
1287,Zimbabwe,2000,Both sexes,46.57,41.03,21.6,12.9,2.46,3.44,18.3
